R,EC
11053019,1.-.-.-
10364943,1.-.-.-
10448241,1.-.-.-
10332580,1.-.-.-
10222958,1.-.-.-
10332571,1.-.-.-
10610734,1.-.-.-
10841111,1.-.-.-
10981255,1.-.-.-
10838185,1.-.-.-
10653711,1.-.-.-
10504016,1.-.-.-
10274136,1.-.-.-
10848606,1.-.-.-
10823444,1.-.-.-
10923286,1.-.-.-
11046519,1.-.-.-
10792024,1.-.-.-
10791495,1.-.-.-
11008291,1.-.-.-
10787066,1.-.-.-
10787068,1.-.-.-
11008327,1.-.-.-
10792300,1.-.-.-
10834015,1.-.-.-
11008458,1.-.-.-
11018836,1.-.-.-
11008335,1.-.-.-
10364937,1.-.-.-
10792022,1.-.-.-
10823441,1.-.-.-
10791524,1.-.-.-
10792038,1.-.-.-
11014695,1.-.-.-
10854961,1.-.-.-
11027419,1.-.-.-
11014698,1.-.-.-
11012152,1.-.-.-
11018555,1.-.-.-
10833532,1.-.-.-
11019084,1.-.-.-
11015746,1.-.-.-
11018368,1.-.-.-
11050374,1.-.-.-
11018257,1.-.-.-
11050267,1.-.-.-
11050207,1.-.-.-
10780883,1.-.-.-
10823891,1.-.-.-
10859963,1.-.-.-
11057472,1.-.-.-
11029906,1.-.-.-
11061045,1.-.-.-
10833551,1.-.-.-
11008337,1.-.-.-
11018574,1.-.-.-
10806202,1.-.-.-
11052350,1.-.-.-
11020994,1.-.-.-
10838934,1.-.-.-
10837940,1.-.-.-
11046522,1.-.-.-
11020464,1.-.-.-
11052241,1.-.-.-
10791976,1.-.-.-
10879672,1.-.-.-
10792049,1.-.-.-
10662858,1.-.-.-
10589274,1.-.-.-
10788145,1.-.-.-
10379161,1.-.-.-
10894226,1.-.-.-
10832778,1.-.-.-
11008304,1.-.-.-
10792036,1.-.-.-
11039529,1.-.-.-
10791528,1.-.-.-
10792040,1.-.-.-
10791514,1.-.-.-
11008325,1.-.-.-
11008333,1.-.-.-
11008331,1.-.-.-
11008306,1.-.-.-
11008339,1.-.-.-
11008302,1.-.-.-
11008329,1.-.-.-
11039527,1.-.-.-
11039525,1.-.-.-
11039490,1.-.-.-
10792032,1.-.-.-
11039533,1.-.-.-
11039521,1.-.-.-
10986384,1.-.-.-
10369075,1.-.-.-
10825582,1.-.-.-
11046793,1.-.-.-
10834875,1.-.-.-
11019100,1.-.-.-
11050966,1.-.-.-
10834856,1.-.-.-
10414881,1.-.-.-
10859074,1.-.-.-
11029253,1.-.-.-
11060920,1.-.-.-
11039484,1.-.-.-
10358020,1.-.-.-
10792026,1.-.-.-
10326504,1.-.-.-
10326512,1.-.-.-
11039486,1.-.-.-
10326046,1.-.-.-
10326528,1.-.-.-
10841095,1.-.-.-
10326520,1.-.-.-
11039517,1.-.-.-
10792034,1.-.-.-
10854724,1.-.-.-
11039531,1.-.-.-
11039473,1.-.-.-
11039519,1.-.-.-
10326006,1.-.-.-
9971182,1.1.-.-
10090953,1.1.-.-
75883,1.1.-.-
10841111,1.1.-.-
10544426,1.1.-.-
10784345,1.1.-.-
10608045,1.1.-.-
194023,1.1.1.-
9982560,1.1.1.-
9982501,1.1.1.-
10102587,1.1.1.-
10146767,1.1.1.-
10156096,1.1.1.-
10038513,1.1.1.-
192036,1.1.1.-
10158929,1.1.1.-
5696457,1.1.1.-
10176608,1.1.1.-
10060066,1.1.1.-
8862380,1.1.1.-
10191138,1.1.1.-
10075062,1.1.1.-
9758682,1.1.1.-
10917634,1.1.1.-
11050267,1.1.1.-
10191180,1.1.1.-
10075109,1.1.1.-
10823525,1.1.1.-
10909161,1.1.1.-
10970750,1.1.1.-
11046525,1.1.1.-
9759259,1.1.1.-
10596354,1.1.1.-
11019111,1.1.1.-
10742380,1.1.1.-
10381898,1.1.1.-
10028919,1.1.1.-
10041275,1.1.1.-
9023968,1.1.1.-
5696822,1.1.1.-
5662471,1.1.1.-
10981042,1.1.1.-
11020473,1.1.1.-
11052250,1.1.1.-
192097,1.1.1.-
193789,1.1.1.-
193816,1.1.1.-
9982006,1.1.1.-
9982497,1.1.1.-
9982503,1.1.1.-
10102519,1.1.1.-
10102525,1.1.1.-
193800,1.1.1.-
193781,1.1.1.-
192160,1.1.1.-
10142494,1.1.1.-
193841,1.1.1.-
10024527,1.1.1.-
10923064,1.1.1.-
10837949,1.1.1.-
10386482,1.1.1.-
10163306,1.1.1.-
5615668,1.1.1.-
10917678,1.1.1.-
2161614,1.1.1.-
9982493,1.1.1.-
9982015,1.1.1.-
9982509,1.1.1.-
10142488,1.1.1.-
9981972,1.1.1.-
2855252,1.1.1.-
9982485,1.1.1.-
2161779,1.1.1.-
2161662,1.1.1.-
10046896,1.1.1.-
2161549,1.1.1.-
193758,1.1.1.-
10024521,1.1.1.-
5692237,1.1.1.-
10045697,1.1.1.-
9024766,1.1.1.-
10164463,1.1.1.-
10102046,1.1.1.-
10741562,1.1.1.-
10845494,1.1.1.-
10589274,1.1.1.-
10662858,1.1.1.-
11018848,1.1.1.-
10381053,1.1.1.-
10040394,1.1.1.-
10069956,1.1.1.-
10069980,1.1.1.-
10024578,1.1.1.-
10186188,1.1.1.-
10186216,1.1.1.-
10142549,1.1.1.-
5652195,1.1.1.-
10806029,1.1.1.-
10780545,1.1.1.-
10158067,1.1.1.-
10581656,1.1.1.-
5692237,1.1.1.1
10024702,1.1.1.1
10142673,1.1.1.1
10045697,1.1.1.1
11052250,1.1.1.1
10253798,1.1.1.1
10365107,1.1.1.1
11020473,1.1.1.1
10910600,1.1.1.1
10482036,1.1.1.1
10981042,1.1.1.1
10639787,1.1.1.1
10923064,1.1.1.1
10917634,1.1.1.1
10823525,1.1.1.1
10837949,1.1.1.1
10909161,1.1.1.1
2162078,1.1.1.1
10970750,1.1.1.1
11046525,1.1.1.1
10917751,1.1.1.1
10386482,1.1.1.1
10163306,1.1.1.1
5662851,1.1.1.10
10742354,1.1.1.10
10650539,1.1.1.10
10834856,1.1.1.10
5661240,1.1.1.10
10158903,1.1.1.10
10498690,1.1.1.10
10269421,1.1.1.10
10041249,1.1.1.10
10920402,1.1.1.10
10579161,1.1.1.10
10873238,1.1.1.100
8862152,1.1.1.100
11025523,1.1.1.100
10544419,1.1.1.100
10400114,1.1.1.100
10206959,1.1.1.100
10060034,1.1.1.100
10176576,1.1.1.100
10285932,1.1.1.100
10430672,1.1.1.100
10315581,1.1.1.100
11080550,1.1.1.100
10090927,1.1.1.100
10096761,1.1.1.100
10212291,1.1.1.100
10321283,1.1.1.100
10436455,1.1.1.100
10547389,1.1.1.100
10612302,1.1.1.100
10788220,1.1.1.100
11057467,1.1.1.100
10608021,1.1.1.100
163756,1.1.1.100
9971157,1.1.1.100
75872,1.1.1.100
10784316,1.1.1.100
9976880,1.1.1.100
10876275,1.1.1.100
11042468,1.1.1.102
9996791,1.1.1.102
10231035,1.1.1.102
10456505,1.1.1.102
10801485,1.1.1.102
433576,1.1.1.102
428123,1.1.1.102
10889773,1.1.1.102
11010908,1.1.1.102
10624049,1.1.1.102
10387637,1.1.1.104
10274861,1.1.1.104
10164463,1.1.1.104
10046896,1.1.1.104
5696457,1.1.1.104
10581656,1.1.1.104
10747183,1.1.1.104
10504814,1.1.1.104
10176608,1.1.1.105
8862380,1.1.1.105
10576834,1.1.1.105
10377752,1.1.1.105
10641460,1.1.1.105
10154639,1.1.1.105
10060066,1.1.1.105
10648198,1.1.1.105
5362518,1.1.1.105
10037103,1.1.1.105
9758682,1.1.1.112
2855252,1.1.1.112
11046519,1.1.1.117
11050729,1.1.1.117
11039665,1.1.1.117
11039529,1.1.1.117
11039519,1.1.1.117
11061045,1.1.1.117
11046522,1.1.1.117
11050966,1.1.1.117
11039517,1.1.1.117
11039484,1.1.1.117
11039533,1.1.1.117
11039490,1.1.1.117
11039525,1.1.1.117
11039527,1.1.1.117
11039473,1.1.1.117
11039531,1.1.1.117
11039521,1.1.1.117
11053019,1.1.1.117
11039486,1.1.1.117
11052241,1.1.1.117
11050374,1.1.1.117
11060920,1.1.1.117
10396601,1.1.1.122
10056453,1.1.1.122
6810594,1.1.1.122
10381053,1.1.1.14
10268552,1.1.1.14
10497879,1.1.1.14
10158067,1.1.1.14
10040394,1.1.1.14
5652195,1.1.1.14
10498716,1.1.1.14
5662471,1.1.1.14
10041275,1.1.1.14
10158929,1.1.1.14
10269447,1.1.1.14
10381898,1.1.1.14
10142549,1.1.1.141
2161662,1.1.1.141
2161568,1.1.1.141
10729135,1.1.1.141
10409942,1.1.1.141
10409918,1.1.1.141
10765192,1.1.1.141
10253679,1.1.1.141
10295370,1.1.1.141
10186188,1.1.1.141
10765198,1.1.1.141
10069980,1.1.1.141
10069956,1.1.1.141
2161779,1.1.1.141
10639711,1.1.1.141
10295346,1.1.1.141
10186216,1.1.1.141
9024766,1.1.1.141
10024578,1.1.1.141
10481906,1.1.1.141
10669506,1.1.1.141
10570352,1.1.1.141
10364995,1.1.1.141
10593903,1.1.1.141
10526632,1.1.1.141
10593901,1.1.1.141
9023968,1.1.1.141
10669526,1.1.1.141
10526656,1.1.1.141
10879822,1.1.1.145
10945039,1.1.1.145
10879824,1.1.1.145
10945041,1.1.1.145
10075021,1.1.1.146
10769866,1.1.1.146
10191105,1.1.1.146
10672683,1.1.1.146
10300096,1.1.1.146
9757706,1.1.1.146
10531616,1.1.1.146
9758682,1.1.1.149
2855252,1.1.1.149
10565031,1.1.1.153
10472389,1.1.1.153
10133736,1.1.1.153
10633544,1.1.1.153
10967918,1.1.1.153
10355980,1.1.1.153
10471874,1.1.1.153
10968266,1.1.1.153
10633125,1.1.1.153
10565360,1.1.1.153
10355468,1.1.1.153
10133205,1.1.1.153
10816742,1.1.1.153
10014607,1.1.1.153
10816333,1.1.1.153
10244309,1.1.1.153
10244777,1.1.1.153
10015139,1.1.1.153
1475414,1.1.1.153
1497869,1.1.1.153
9967590,1.1.1.159
10202993,1.1.1.159
508369,1.1.1.159
10086814,1.1.1.159
10235332,1.1.1.159
10311584,1.1.1.159
10559903,1.1.1.159
10345323,1.1.1.159
10426721,1.1.1.159
10121376,1.1.1.159
6787591,1.1.1.159
10001224,1.1.1.159
10604940,1.1.1.159
6787594,1.1.1.159
10542438,1.1.1.159
10627063,1.1.1.159
10461094,1.1.1.159
70837,1.1.1.159
10742354,1.1.1.162
194642,1.1.1.170
10550497,1.1.1.170
194718,1.1.1.170
10080337,1.1.1.170
9945822,1.1.1.170
9945787,1.1.1.170
9982718,1.1.1.170
10080333,1.1.1.170
10102750,1.1.1.170
9982691,1.1.1.170
10599799,1.1.1.170
10196582,1.1.1.170
10102722,1.1.1.170
10326708,1.1.1.170
10326735,1.1.1.170
11039581,1.1.1.170
10305359,1.1.1.170
10694738,1.1.1.170
10774528,1.1.1.170
11062134,1.1.1.170
10550524,1.1.1.170
11062136,1.1.1.170
10217693,1.1.1.170
10217720,1.1.1.170
10420185,1.1.1.170
10196578,1.1.1.170
10305355,1.1.1.170
11030949,1.1.1.170
10442415,1.1.1.170
11039606,1.1.1.170
10774532,1.1.1.170
11030951,1.1.1.170
10420189,1.1.1.170
10599803,1.1.1.170
10536993,1.1.1.170
10536989,1.1.1.170
10442442,1.1.1.170
11008407,1.1.1.170
10694758,1.1.1.170
11008382,1.1.1.170
10542438,1.1.1.178
10627063,1.1.1.178
508369,1.1.1.178
10461094,1.1.1.178
70837,1.1.1.178
10235332,1.1.1.178
10121376,1.1.1.178
10345323,1.1.1.178
10086814,1.1.1.178
9967590,1.1.1.178
10604940,1.1.1.178
10426721,1.1.1.178
10311584,1.1.1.178
6787594,1.1.1.178
10559903,1.1.1.178
10001224,1.1.1.178
6787591,1.1.1.178
10202993,1.1.1.178
10326522,1.1.1.181
10442226,1.1.1.181
10441757,1.1.1.181
10102519,1.1.1.181
10615142,1.1.1.181
10615436,1.1.1.181
10326516,1.1.1.181
10326040,1.1.1.181
10615440,1.1.1.181
10217512,1.1.1.181
10217508,1.1.1.181
10442232,1.1.1.181
193789,1.1.1.181
10102046,1.1.1.181
9982503,1.1.1.181
10102525,1.1.1.181
9982497,1.1.1.181
192097,1.1.1.181
9982006,1.1.1.181
10217101,1.1.1.181
193816,1.1.1.181
10063817,1.1.1.184
10520662,1.1.1.184
10253641,1.1.1.184
10289383,1.1.1.184
10037231,1.1.1.184
10024540,1.1.1.184
10834856,1.1.1.184
2161651,1.1.1.184
10364957,1.1.1.184
10591045,1.1.1.184
10180301,1.1.1.184
10403648,1.1.1.184
10570322,1.1.1.184
10576956,1.1.1.184
10639683,1.1.1.184
10142510,1.1.1.184
10173017,1.1.1.184
8937419,1.1.1.184
10917751,1.1.1.184
10831641,1.1.1.184
10154767,1.1.1.184
10664948,1.1.1.184
5419165,1.1.1.184
10481868,1.1.1.184
10494663,1.1.1.184
10414881,1.1.1.188
10364943,1.1.1.188
10369075,1.1.1.188
2855252,1.1.1.188
10364937,1.1.1.188
2161549,1.1.1.188
10379161,1.1.1.188
5615668,1.1.1.188
2161614,1.1.1.188
10364957,1.1.1.189
10142510,1.1.1.189
2161651,1.1.1.189
10024540,1.1.1.189
10386471,1.1.1.19
10503615,1.1.1.19
5661256,1.1.1.19
5692232,1.1.1.19
10381879,1.1.1.19
10041256,1.1.1.19
10163295,1.1.1.19
10158910,1.1.1.19
10269428,1.1.1.19
10045686,1.1.1.19
10273772,1.1.1.19
10498697,1.1.1.19
11008304,1.1.1.190
11008337,1.1.1.190
11008291,1.1.1.190
11014698,1.1.1.190
11008335,1.1.1.190
11029253,1.1.1.190
11014695,1.1.1.190
11020464,1.1.1.190
11008327,1.1.1.190
11008325,1.1.1.190
11008302,1.1.1.190
11008329,1.1.1.190
11019100,1.1.1.190
11020994,1.1.1.190
11008333,1.1.1.190
11008331,1.1.1.190
11008306,1.1.1.190
11018368,1.1.1.190
11008339,1.1.1.190
11029906,1.1.1.190
11029906,1.1.1.191
11014698,1.1.1.191
11020994,1.1.1.191
11019100,1.1.1.191
11020464,1.1.1.191
11008306,1.1.1.191
11008333,1.1.1.191
11008331,1.1.1.191
11008325,1.1.1.191
11008339,1.1.1.191
11008302,1.1.1.191
11014695,1.1.1.191
11029253,1.1.1.191
11008335,1.1.1.191
11008327,1.1.1.191
11008291,1.1.1.191
11008337,1.1.1.191
11008329,1.1.1.191
11018368,1.1.1.191
11008304,1.1.1.191
10024540,1.1.1.196
10364957,1.1.1.196
2161651,1.1.1.196
10142510,1.1.1.196
10364957,1.1.1.197
10024540,1.1.1.197
2161651,1.1.1.197
10142510,1.1.1.197
5661256,1.1.1.2
10163295,1.1.1.2
10650546,1.1.1.2
10579168,1.1.1.2
10045686,1.1.1.2
10498697,1.1.1.2
10273772,1.1.1.2
10041256,1.1.1.2
10580910,1.1.1.2
10503615,1.1.1.2
10386471,1.1.1.2
10269428,1.1.1.2
10653482,1.1.1.2
5692232,1.1.1.2
10158910,1.1.1.2
10381879,1.1.1.2
10045686,1.1.1.20
5692232,1.1.1.20
10269428,1.1.1.20
10498697,1.1.1.20
10381879,1.1.1.20
10158910,1.1.1.20
10273772,1.1.1.20
10041256,1.1.1.20
10386471,1.1.1.20
10503615,1.1.1.20
5661256,1.1.1.20
10163295,1.1.1.20
10769866,1.1.1.201
10672683,1.1.1.201
10531616,1.1.1.201
10300096,1.1.1.201
10191105,1.1.1.201
10075021,1.1.1.201
9757706,1.1.1.201
11029135,1.1.1.205
10683911,1.1.1.205
10871721,1.1.1.205
10941391,1.1.1.205
11004918,1.1.1.205
11082404,1.1.1.205
11066403,1.1.1.205
10782844,1.1.1.205
10858771,1.1.1.205
10996705,1.1.1.205
421222,1.1.1.205
10769598,1.1.1.205
10606837,1.1.1.205
10672445,1.1.1.205
10952350,1.1.1.205
10367597,1.1.1.209
10191138,1.1.1.209
10024521,1.1.1.209
10037170,1.1.1.209
10037103,1.1.1.209
10027301,1.1.1.209
2454081,1.1.1.209
5362518,1.1.1.209
10142488,1.1.1.209
193800,1.1.1.209
193781,1.1.1.209
193758,1.1.1.209
192160,1.1.1.209
192036,1.1.1.209
10142494,1.1.1.209
10075062,1.1.1.209
10154639,1.1.1.209
193841,1.1.1.209
9758682,1.1.1.209
2466832,1.1.1.209
10377823,1.1.1.209
10024527,1.1.1.209
10156096,1.1.1.209
10146767,1.1.1.209
10028919,1.1.1.209
10038513,1.1.1.209
10377752,1.1.1.209
5362721,1.1.1.209
2855252,1.1.1.209
10997571,1.1.1.21
10859963,1.1.1.21
10823441,1.1.1.21
9931940,1.1.1.21
10770678,1.1.1.21
10673448,1.1.1.21
10597106,1.1.1.21
10823444,1.1.1.21
10970643,1.1.1.21
10970646,1.1.1.21
10791514,1.1.1.21
10859074,1.1.1.21
10957546,1.1.1.21
10957665,1.1.1.21
10957673,1.1.1.21
10792022,1.1.1.21
10791524,1.1.1.21
10792038,1.1.1.21
10791495,1.1.1.21
10792024,1.1.1.21
10792036,1.1.1.21
10381042,1.1.1.21
10442586,1.1.1.21
10497868,1.1.1.21
10550611,1.1.1.21
10578714,1.1.1.21
10615643,1.1.1.21
10649899,1.1.1.21
10792300,1.1.1.21
10975966,1.1.1.21
10832778,1.1.1.21
10047104,1.1.1.21
10164679,1.1.1.21
10581751,1.1.1.21
10996894,1.1.1.21
10957675,1.1.1.21
10981033,1.1.1.21
10838934,1.1.1.21
10981853,1.1.1.21
10837940,1.1.1.21
10976631,1.1.1.21
10957799,1.1.1.21
10834015,1.1.1.21
10747282,1.1.1.21
10326879,1.1.1.21
10654478,1.1.1.21
10957663,1.1.1.21
196060,1.1.1.21
10732359,1.1.1.21
10642352,1.1.1.21
10572450,1.1.1.21
10146767,1.1.1.21
10028919,1.1.1.21
9931850,1.1.1.21
5652172,1.1.1.21
9982851,1.1.1.21
10957559,1.1.1.21
10040383,1.1.1.21
10957677,1.1.1.21
10976859,1.1.1.21
10957563,1.1.1.21
10957667,1.1.1.21
10825582,1.1.1.21
10792034,1.1.1.21
10792032,1.1.1.21
10268541,1.1.1.21
10102893,1.1.1.21
10791528,1.1.1.21
10792040,1.1.1.21
10217864,1.1.1.21
10792026,1.1.1.21
10957561,1.1.1.21
10834875,1.1.1.21
10957671,1.1.1.21
10957669,1.1.1.21
10158056,1.1.1.21
5615668,1.1.1.210
9945784,1.1.1.210
10420187,1.1.1.210
10326726,1.1.1.210
9945804,1.1.1.210
10326694,1.1.1.210
10305353,1.1.1.210
10305357,1.1.1.210
9758682,1.1.1.210
10217679,1.1.1.210
10102708,1.1.1.210
10196576,1.1.1.210
10080335,1.1.1.210
10102741,1.1.1.210
10420183,1.1.1.210
10196580,1.1.1.210
10217711,1.1.1.210
10080331,1.1.1.210
9982677,1.1.1.210
194632,1.1.1.210
2161549,1.1.1.210
193758,1.1.1.210
192036,1.1.1.210
2161614,1.1.1.210
193841,1.1.1.210
192160,1.1.1.210
193781,1.1.1.210
193800,1.1.1.210
2855252,1.1.1.210
10550483,1.1.1.210
10774530,1.1.1.210
10774526,1.1.1.210
10694724,1.1.1.210
10694756,1.1.1.210
10550515,1.1.1.210
10599801,1.1.1.210
9982709,1.1.1.210
194689,1.1.1.210
10599797,1.1.1.210
10207494,1.1.1.211
10207481,1.1.1.211
10091535,1.1.1.211
10431296,1.1.1.211
10544956,1.1.1.211
10316170,1.1.1.211
9971787,1.1.1.211
10431309,1.1.1.211
10316183,1.1.1.211
10544969,1.1.1.211
10091548,1.1.1.211
10091575,1.1.1.211
10608531,1.1.1.211
9971774,1.1.1.211
10091550,1.1.1.211
10091527,1.1.1.211
10091552,1.1.1.211
10091590,1.1.1.211
10091567,1.1.1.211
9971789,1.1.1.211
10608527,1.1.1.211
9971766,1.1.1.211
9971829,1.1.1.211
9971814,1.1.1.211
9971806,1.1.1.211
10874260,1.1.1.211
10874246,1.1.1.211
10784818,1.1.1.211
10784804,1.1.1.211
9971791,1.1.1.211
10874258,1.1.1.211
77301,1.1.1.211
10784816,1.1.1.211
1482775,1.1.1.211
10091546,1.1.1.211
10091532,1.1.1.211
9971785,1.1.1.211
9971771,1.1.1.211
77277,1.1.1.211
10207513,1.1.1.211
77283,1.1.1.211
77303,1.1.1.211
77340,1.1.1.211
77309,1.1.1.211
77271,1.1.1.211
77304,1.1.1.211
77329,1.1.1.211
77321,1.1.1.211
10014815,1.1.1.211
10207478,1.1.1.211
10133406,1.1.1.211
10244479,1.1.1.211
10784801,1.1.1.211
10608529,1.1.1.211
10608524,1.1.1.211
10544967,1.1.1.211
10544953,1.1.1.211
10431307,1.1.1.211
10431293,1.1.1.211
10874243,1.1.1.211
10901409,1.1.1.211
10816466,1.1.1.211
10633288,1.1.1.211
10316167,1.1.1.211
10565161,1.1.1.211
10472070,1.1.1.211
10355664,1.1.1.211
10207492,1.1.1.211
10316181,1.1.1.211
10207521,1.1.1.211
10207473,1.1.1.211
10207498,1.1.1.211
10431288,1.1.1.211
10431311,1.1.1.211
10544986,1.1.1.211
10544992,1.1.1.211
10544996,1.1.1.211
10544973,1.1.1.211
10544948,1.1.1.211
10544971,1.1.1.211
10608550,1.1.1.211
10608564,1.1.1.211
10608535,1.1.1.211
10608519,1.1.1.211
10431313,1.1.1.211
10608533,1.1.1.211
10784842,1.1.1.211
10784856,1.1.1.211
10784822,1.1.1.211
10784798,1.1.1.211
10784820,1.1.1.211
